City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,nar'yan-mar,67.6713,53.087,16.16,74,100,2.65,RU,1690525189
331,berber,18.0216,33.983,34.1,34,3,6.39,SD,1690525190
332,bajil,15.0584,43.2851,37.03,33,78,2.97,YE,1690525190
333,la paz,-16.5,-68.15,4.76,62,40,4.12,BO,1690525191
334,deniliquin,-35.5333,144.9667,19.4,56,20,3.86,AU,1690525191
335,punta arenas,-53.15,-70.9167,-1.55,82,100,3.18,CL,1690525192
336,sao joao da barra,-21.6403,-41.0511,21.39,89,19,6.0,BR,1690525192
337,santa maria,-29.6842,-53.8069,10.86,92,100,2.1,BR,1690525193
338,tolanaro,-25.0319,46.9987,21.2,63,21,4.43,MG,1690525193
339,east london,-33.0153,27.9116,12.52,82,0,1.54,ZA,1690525194
340,la rioja,42.25,-2.5,10.88,70,26,2.24,ES,1690525194
341,polovinnoye,54.7914,65.9864,28.86,43,38,5.01,RU,1690525195
342,gamawa,12.1343,10.5396,25.95,70,60,3.34,NG,1690525195
343,manay,7.215,126.5397,26.22,90,100,3.15,PH,1690525196
344,florence,43.7667,11.25,22.52,77,40,1.03,IT,1690525196
345,badger,64.8,-147.5333,24.95,63,20,2.57,US,1690525197
346,port saint john's,-31.6229,29.5448,16.8,80,0,3.01,ZA,1690525197
347,kalevala,65.2,31.1667,19.18,64,99,2.65,RU,1690525198
348,morondava,-20.2833,44.2833,22.49,42,0,2.74,MG,1690525198
349,chayan,43.0297,69.3772,34.9,23,1,7.68,KZ,1690525199
350,charters towers,-20.1,146.2667,25.91,38,31,6.22,AU,1690525199
351,isangel,-19.55,169.2667,22.06,64,20,3.09,VU,1690525200
352,hirara,24.8,125.2833,31.15,79,75,9.77,JP,1690525200
353,kampong dungun,3.2167,101.3167,33.81,61,85,3.46,MY,1690525201
354,san jose de jachal,-30.2406,-68.7469,7.67,57,11,1.33,AR,1690525201
355,big bend,-26.8167,31.9333,17.54,58,0,0.86,SZ,1690525202
356,mount gambier,-37.8333,140.7667,14.68,79,6,4.43,AU,1690525180
357,puerto leguizamo,-0.1934,-74.7819,22.35,99,100,0.91,CO,1690525203
358,edd,13.9297,41.6925,36.29,52,92,2.45,ER,1690525204
359,sitia,35.2,26.0986,28.88,60,0,7.75,GR,1690525204
360,green river,41.5286,-109.4662,21.1,46,47,1.34,US,1690525205
361,tuytepa,41.0321,69.3625,37.19,16,85,4.3,UZ,1690525206
362,m'sila,35.7058,4.5419,29.35,39,1,5.08,DZ,1690525206
363,cloverdale,38.8055,-123.0172,15.81,70,0,2.41,US,1690525207
364,naze,28.3667,129.4833,29.51,81,96,5.94,JP,1690525207
365,asipovichy,53.2933,28.6422,15.4,76,67,3.03,BY,1690525208
366,karratha,-20.7377,116.8463,25.69,28,19,5.41,AU,1690525208
367,bayt hanun,31.5353,34.5358,33.71,48,0,0.9,PS,1690525209
368,amga,60.8953,131.9608,24.38,31,59,2.56,RU,1690525209
369,rio grande,-32.035,-52.0986,9.41,78,100,1.63,BR,1690525029
370,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,94,75,3.0,RU,1690525210
371,san buenaventura,27.0833,-101.5333,28.89,43,0,4.48,MX,1690525211
372,kalmunai,7.4167,81.8167,33.35,49,14,3.14,LK,1690525211
373,pontian kechil,1.4866,103.3896,34.12,77,90,3.79,MY,1690525212
374,santarem,-2.4431,-54.7083,24.07,100,0,0.0,BR,1690525213
375,qa'en,33.7265,59.1844,29.25,25,0,7.36,IR,1690525214
376,ebon,4.582,168.6964,28.77,71,73,1.82,MH,1690525214
377,mata-utu,-13.2816,-176.1745,27.16,76,91,5.95,WF,1690525215
378,illizi,26.4833,8.4667,31.89,11,15,1.19,DZ,1690525215
379,cabo san lucas,22.8909,-109.9124,30.9,78,24,3.13,MX,1690525216
380,gaspe,48.8334,-64.4819,18.95,94,0,1.54,CA,1690525217
381,talcahuano,-36.7167,-73.1167,10.82,93,0,3.09,CL,1690525217
382,argostolion,38.1811,20.489,25.04,65,0,6.69,GR,1690525218
383,north platte,41.1239,-100.7654,22.4,60,0,2.06,US,1690525219
384,baissa,7.2333,10.6333,22.47,98,100,0.44,NG,1690525219
385,vylkove,45.4021,29.586,20.38,49,6,8.27,UA,1690525220
386,chernushka,56.5072,56.0766,24.22,62,5,3.66,RU,1690525220
387,nouadhibou,20.931,-17.0347,20.69,84,31,10.35,MR,1690525221
388,gadzhiyevo,69.2551,33.3362,15.26,76,62,0.96,RU,1690525222
389,cartagena,10.3997,-75.5144,26.79,94,20,1.54,CO,1690525170
390,borshchiv,48.8033,26.0435,15.58,57,1,2.63,UA,1690525223
391,shaoxing,30.011,120.5715,26.97,90,100,4.66,CN,1690525223
392,las animas,-39.8087,-73.2182,8.35,98,100,0.6,CL,1690525224
393,al qubbah,32.7616,22.2424,23.25,56,0,10.61,LY,1690525224
394,happy valley-goose bay,53.3168,-60.3315,14.17,72,75,2.57,CA,1690525225
395,lumberton,34.6182,-79.0086,26.17,89,0,0.0,US,1690524943
396,pingliang,35.5392,106.6861,18.58,94,100,3.74,CN,1690525226
397,san antonio,29.4241,-98.4936,28.47,71,0,5.14,US,1690525182
398,carnarvon,-24.8667,113.6333,18.85,49,0,6.07,AU,1690525227
399,cill airne,52.05,-9.5167,14.17,87,100,2.32,IE,1690525228
400,vernon,50.2581,-119.2691,21.2,52,100,1.03,CA,1690525228
401,santiago de cao,-7.9589,-79.2392,21.07,88,75,2.57,PE,1690525229
402,nadym,65.5333,72.5167,23.75,56,92,1.84,RU,1690525230
403,lazaro cardenas,17.9583,-102.2,27.94,67,99,1.68,MX,1690525230
404,geraldton,-28.7667,114.6,19.23,63,100,2.57,AU,1690525231
405,khandyga,62.6667,135.6,23.22,29,99,2.52,RU,1690525232
406,ixtapa,20.7,-105.2,24.77,96,58,1.1,MX,1690525233
407,shingu,33.7333,135.9833,29.71,69,20,2.78,JP,1690525233
408,new norfolk,-42.7826,147.0587,14.95,61,7,3.39,AU,1690525234
409,kununurra,-15.7667,128.7333,29.99,30,40,2.57,AU,1690525234
410,samus',56.7475,84.6992,27.78,38,86,0.1,RU,1690525235
411,simanggang,1.2472,111.4528,32.99,55,20,4.12,MY,1690525236
412,nova sintra,14.8667,-24.7167,22.01,80,19,8.28,CV,1690525236
413,san antonio de pale,-1.4014,5.6325,22.79,88,99,6.13,GQ,1690525237
414,dakoro,14.5106,6.765,28.46,55,97,4.94,NE,1690525036
415,neyshabur,36.2133,58.7958,30.48,25,44,1.75,IR,1690525238
416,argo,37.6333,22.7333,28.21,40,0,1.49,GR,1690525238
417,taoudenni,22.6783,-3.9836,36.82,16,55,3.18,ML,1690525239
418,hadibu,12.65,54.0333,26.18,70,97,14.5,YE,1690525239
419,plettenberg bay,-34.0527,23.3716,12.67,59,0,2.47,ZA,1690525240
420,pizarro,4.9533,-77.366,25.95,88,74,1.28,CO,1690525240
421,sierra grande,-41.606,-65.3557,2.55,86,4,3.22,AR,1690525241
422,quintanar del rey,39.3382,-1.9389,19.89,33,0,1.57,ES,1690525242
423,shakawe,-18.3667,21.85,14.31,45,6,2.44,BW,1690525242
424,kruisfontein,-34.0033,24.7314,12.06,68,0,3.75,ZA,1690525243
425,tobelo,1.7284,128.0095,29.76,67,85,4.56,ID,1690525244
426,chibougamau,49.9168,-74.3659,16.79,72,75,2.32,CA,1690525244
427,urumqi,43.801,87.6005,31.53,24,0,5.0,CN,1690525245
428,zhumysker,49.3333,49.4,35.43,22,0,3.22,KZ,1690525245
